Subject ID,Subject
BIO,Biology
CSC,Computer
ENG,English
EVS,EVS
HIN,Hindi
HIN2,Hindi (II Lang)
HIN3,Hindi (III Lang)
HIT,Hindi/Telugu
HIT2,Hindi/Telugu (II Language)
HIT3,Hindi/Telugu (III Lang)
MTH,Maths
MTHI,Maths (IIT)
SCI,Science
SCII,Science (IIT)
SOC,Social
TEL,Telugu
TEL2,Telugu (II Lang)
TEL3,Telugu (III Lang)
PT,Physical Training
